Pendel 1 in Ruhe
Pendel 2 ausgelenkt
20.983 -4.830 -4.593
21.008 -4.235 -5.030
21.033 -3.780 -5.419
21.058 -3.255 -5.735
21.083 -2.660 -5.929
21.108 -2.030 -6.026
21.133 -1.505 -6.099
21.158 -0.945 -6.051
21.183 -0.315 -5.954
21.208 0.140 -5.686
21.233 0.595 -5.370
21.258 1.050 -5.054
21.283 1.435 -4.544
21.308 1.855 -4.058
21.333 2.205 -3.402
21.358 2.555 -2.722
21.383 2.695 -1.993
21.408 2.940 -1.239
21.433 2.870 -0.364
21.458 3.045 0.462
21.483 3.080 1.337
21.508 2.940 2.236
21.533 2.905 3.159
21.558 2.730 4.010
21.583 2.590 4.860
21.608 2.450 5.686
21.633 2.030 6.537
21.658 1.715 7.241
21.683 1.400 8.019
21.708 1.120 8.675
21.733 0.770 9.258
21.758 0.245 9.696
21.783 -0.140 10.109
21.808 -0.420 10.425
21.833 -0.910 10.668
21.858 -1.260 10.765
21.883 -1.575 10.765
21.908 -1.855 10.668
21.933 -2.170 10.449
21.958 -2.450 10.133
21.983 -2.800 9.744
22.008 -3.010 9.258
22.033 -3.220 8.699
22.058 -3.220 8.043
22.083 -3.465 7.387
22.108 -3.500 6.464
22.133 -3.640 5.613
22.158 -3.605 4.714
22.183 -3.570 3.694
22.208 -3.465 2.649
22.233 -3.465 1.725
22.258 -3.360 0.729
22.283 -3.290 -0.267
22.308 -3.150 -1.264
22.333 -3.185 -2.187
22.358 -3.010 -3.135
22.383 -2.870 -3.888
22.408 -2.625 -4.714
22.433 -2.555 -5.419
22.458 -2.380 -6.051
22.483 -2.205 -6.561
22.508 -2.100 -7.047
22.533 -2.030 -7.363
22.558 -1.785 -7.630
22.583 -1.715 -7.752
22.608 -1.645 -7.825
22.633 -1.575 -7.825
22.658 -1.505 -7.630
22.683 -1.470 -7.387
22.708 -1.295 -7.047
22.733 -1.295 -6.512
22.758 -1.260 -5.978
22.783 -1.400 -5.346
22.808 -1.435 -4.617
22.833 -1.400 -3.839
22.858 -1.400 -2.940
22.883 -1.540 -1.968
22.908 -1.505 -1.093
22.933 -1.645 -0.073
22.958 -1.575 0.948
22.983 -1.715 1.968
23.008 -1.715 2.965
23.033 -1.785 3.985
23.058 -1.890 5.006
23.083 -1.960 5.954
23.108 -2.065 6.804
23.133 -2.030 7.654
23.158 -1.925 8.359
23.183 -1.995 9.040
23.208 -1.925 9.647
23.233 -1.785 10.157
23.258 -1.715 10.595
23.283 -1.680 10.911
23.308 -1.610 11.129
23.333 -1.470 11.227
23.358 -1.295 11.154
23.383 -1.120 11.081
23.408 -0.840 10.862
23.433 -0.665 10.619
23.458 -0.455 10.060
23.483 -0.280 9.574
23.508 -0.035 8.918
23.533 0.210 8.286
23.558 0.315 7.557
23.583 0.595 6.731
23.608 0.700 5.905
23.633 0.875 4.957
23.658 1.050 4.010
23.683 1.120 3.062
23.708 1.330 2.017
23.733 1.295 1.118
23.758 1.295 0.146
23.783 1.225 -0.753
23.808 1.155 -1.652
23.833 1.120 -2.527
23.858 0.980 -3.305
23.883 0.875 -4.034
23.908 0.595 -4.763
23.933 0.315 -5.346
23.958 0.140 -5.808
23.983 -0.210 -6.221
24.008 -0.595 -6.585
24.033 -0.875 -6.780
24.058 -1.190 -7.023
24.083 -1.610 -6.974
24.108 -1.960 -6.974
24.133 -2.380 -6.804
24.158 -2.870 -6.561
24.183 -3.255 -6.221
24.208 -3.640 -5.832
24.233 -4.025 -5.346
24.258 -4.305 -4.763
24.283 -4.690 -4.058
24.308 -4.970 -3.353
24.333 -5.285 -2.600
24.358 -5.530 -1.871
24.383 -5.740 -0.996
24.408 -5.985 -0.194
24.433 -6.090 0.705
24.458 -6.090 1.579
24.483 -6.160 2.479
24.508 -6.125 3.329
24.533 -6.055 4.155
24.558 -5.880 4.909
24.583 -5.775 5.686
24.608 -5.600 6.367
24.633 -5.040 6.950
24.658 -4.795 7.484
24.683 -4.375 7.970
24.708 -3.920 8.383
24.733 -3.500 8.699
24.758 -2.870 8.894
24.783 -2.380 9.088
24.808 -1.680 9.088
24.833 -1.155 9.064
24.858 -0.490 8.991
24.883 0.175 8.821
24.908 0.840 8.529
24.933 1.365 8.213
24.958 2.030 7.776
24.983 2.625 7.363
25.008 3.185 6.780
25.033 3.605 6.245
25.058 4.060 5.589
25.083 4.445 5.054
25.108 4.795 4.350
25.133 5.075 3.694
25.158 5.215 3.013
25.183 5.215 2.381
25.208 5.355 1.628
25.233 5.285 0.972
25.258 5.215 0.292
25.283 4.900 -0.316
25.308 4.585 -0.875
25.333 4.270 -1.458
25.358 3.955 -1.968
25.383 3.395 -2.381
25.408 2.730 -2.794
25.433 2.170 -3.110
25.458 1.575 -3.353
25.483 0.980 -3.572
25.508 0.105 -3.742
25.533 -0.595 -3.766
25.558 -1.400 -3.839
25.583 -2.135 -3.791
25.608 -2.940 -3.669
25.633 -3.675 -3.499
25.658 -4.445 -3.280
25.683 -5.110 -2.989
25.708 -5.775 -2.697
25.733 -6.475 -2.308
25.758 -7.000 -1.944
25.783 -7.630 -1.507
25.808 -7.945 -1.069
25.833 -8.470 -0.583
25.858 -8.750 -0.049
25.883 -8.995 0.510
25.908 -9.170 0.972
25.933 -9.240 1.482
25.958 -9.205 1.944
25.983 -9.170 2.381
26.008 -8.890 2.770
26.033 -8.575 3.135
26.058 -8.260 3.572
26.083 -7.770 3.888
26.108 -7.315 4.155
26.133 -6.720 4.423
26.158 -6.125 4.690
26.183 -5.320 4.811
26.208 -4.585 4.933
26.233 -3.780 4.981
26.258 -2.835 5.054
26.283 -2.065 5.079
